deviceId,TimeStamp,AcceleratorPositionD,AcceleratorPositionE,BarometricPressure,Battery,CommandedEGR,ControlModuleVoltage,CoolantTemperature,DistanceSinceDTCClear,DistanceWithMIL,DTC,EngineLoad,EngineSpeed,FuelRailPressureDirect,IntakeTemp,MAF,MAP,PidsA,PidsB,PidsC,Speed,Status.DTCCount,Status.MIL,VehicleIdentification.VIN
RQHVTJF00006025,2020-09-01T21:28:05.000Z,26,13,90,13.73099995,19,14,57,0,0,"\\""""",29,765,29200,32,6,88,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T21:28:08.000Z,26,13,90,13.73099995,34,14,57,0,0,"\\""""",29,802,29200,32,7,88,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T21:28:11.000Z,26,13,90,13.73099995,21,14,57,0,0,"\\""""",29,759,28400,32,6,88,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T21:28:14.000Z,26,13,90,13.73099995,20,14,58,0,0,"\\""""",30,768,28200,32,6,88,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T21:28:17.000Z,26,13,90,13.73099995,21,14,58,0,0,"\\""""",41,760,30200,32,6,88,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T21:28:20.000Z,26,13,90,13.73099995,32,14,58,0,0,"\\""""",40,813,27800,32,7,88,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T21:28:23.000Z,26,13,90,13.73099995,26,14,58,0,0,"\\""""",30,767,28000,32,6,88,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T21:28:26.000Z,26,13,90,13.73099995,24,14,59,0,0,"\\""""",29,729,29200,32,7,88,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T21:28:29.000Z,26,13,90,13.73099995,19,14,59,0,0,"\\""""",30,1328,44600,35,17,88,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T21:28:32.000Z,26,13,90,13.73099995,33,14,59,0,0,"\\""""",28,766,29200,35,7,88,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T21:28:35.000Z,26,13,90,13.73099995,36,14,59,0,0,"\\""""",28,766,28600,35,6,88,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T21:28:38.000Z,26,13,90,13.73099995,36,14,59,0,0,"\\""""",28,763,28600,35,6,88,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T21:28:41.000Z,26,13,90,13.73099995,37,14,59,0,0,"\\""""",28,764,29000,32,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T21:28:44.000Z,26,13,90,13.73099995,38,14,59,0,0,"\\""""",28,764,29200,32,6,88,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T21:28:47.000Z,26,13,90,13.73099995,36,14,59,0,0,"\\""""",28,761,27800,32,6,88,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T21:28:50.000Z,26,13,90,13.73099995,36,14,60,0,0,"\\""""",28,769,28600,32,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T21:28:53.000Z,26,13,90,13.73099995,37,14,60,0,0,"\\""""",28,759,29800,32,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T21:28:56.000Z,26,13,90,13.73099995,38,14,60,0,0,"\\""""",28,763,27600,32,6,88,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T21:28:59.000Z,26,13,90,13.73099995,38,14,60,0,0,"\\""""",28,769,28400,32,6,88,2554003473,2685411329,3233808384,0,1,FALSE,0
